not
never
no
none
nothing
nowhere
neither
hardly
scarcely
barely
without
seldom
rarely
cannot
can't
doesn't
don't
isn't
wasn't
weren't
won't
wouldn't
shouldn't
mustn't
mightn't
didn't
hasn't
hadn't
haven't
ain't
non
nobody
nor
zero
absolutely
neglect
omit
absent
disallow
forbid
prevent
prohibit
refuse
decline
ban
exclude
block
disagree
reject
void
cancel
nullify
abandon
ignore
expected
but
too
under
over
lacked
